date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	1	0	0
2020-03-27	4	0	0
2020-03-28	4	0	0
2020-03-29	5	0	0
2020-03-30	5	0	0
2020-03-31	5	0	0
2020-04-01	5	0	0
2020-04-02	5	0	0
2020-04-03	5	0	0
2020-04-04	5	0	1
2020-04-05	5	0	1
2020-04-06	5	0	1
2020-04-07	5	0	1
2020-04-08	6	0	1
2020-04-09	6	1	1
2020-04-10	5	1	1
2020-04-11	5	1	1
2020-04-12	5	1	1
2020-04-13	5	4	1
2020-04-14	5	4	1
2020-04-15	5	4	1
2020-04-16	5	4	1
2020-04-17	5	4	1
2020-04-18	6	4	1
2020-04-19	7	4	1
2020-04-20	7	4	1
2020-04-21	7	4	1
2020-04-22	7	4	1
2020-04-23	7	4	1
2020-04-24	8	4	1
2020-04-25	9	4	1
2020-04-26	9	4	1
2020-04-27	9	4	1
2020-04-28	9	4	1
2020-04-29	9	4	1
2020-04-30	10	4	1
2020-05-01	11	4	1
2020-05-02	11	6	1
2020-05-03	12	6	1
2020-05-04	12	7	1
2020-05-05	12	7	1
2020-05-06	17	7	1
2020-05-07	17	7	1
2020-05-08	17	11	1
2020-05-09	17	11	1
2020-05-10	17	11	1
2020-05-11	17	11	1
2020-05-12	17	12	1
2020-05-13	17	12	1
2020-05-14	17	13	1
2020-05-15	17	13	1
2020-05-16	18	15	1
2020-05-17	18	15	1
2020-05-18	18	15	1
2020-05-19	18	15	1
2020-05-20	18	15	1
2020-05-21	18	15	1
2020-05-22	19	15	1
2020-05-23	19	17	1
2020-05-24	19	17	1
2020-05-25	19	17	1
2020-05-26	19	17	1
2020-05-27	19	17	1
2020-05-28	20	17	1
2020-05-29	20	17	1
2020-05-30	20	17	1
2020-05-31	20	17	1
