date	cases	recoveries	deaths
2020-03-02	2	0	0
2020-03-03	2	0	0
2020-03-04	2	0	0
2020-03-05	2	0	0
2020-03-06	4	0	0
2020-03-07	4	0	0
2020-03-08	6	0	0
2020-03-09	16	0	0
2020-03-10	23	0	0
2020-03-11	29	2	0
2020-03-12	29	2	0
2020-03-13	54	3	1
2020-03-14	71	8	2
2020-03-15	90	8	2
2020-03-16	104	8	2
2020-03-17	126	9	2
2020-03-18	158	11	12
2020-03-19	210	15	12
2020-03-20	215	17	18
2020-03-21	267	17	23
2020-03-22	307	22	29
2020-03-23	353	23	29
2020-03-24	424	23	31
2020-03-25	463	23	31
2020-03-26	515	25	46
2020-03-27	598	31	51
2020-03-28	627	43	62
2020-03-29	675	45	68
2020-03-30	698	48	74
2020-03-31	747	48	83
2020-04-01	808	50	85
2020-04-02	897	52	90
2020-04-03	971	52	90
2020-04-04	1028	56	89
2020-04-05	1124	56	95
2020-04-06	1232	65	99
2020-04-07	1369	65	106
2020-04-08	1470	70	114
2020-04-09	1706	82	142
2020-04-10	1753	82	154
2020-04-11	1948	82	159
2020-04-12	2044	142	195
2020-04-13	2186	142	204
2020-04-14	2335	163	241
2020-04-15	2474	164	242
2020-04-16	2670	202	244
2020-04-17	2815	204	246
2020-04-18	2924	205	253
2020-04-19	3032	234	287
2020-04-20	3097	230	287
2020-04-21	3260	286	298
2020-04-22	3383	322	301
2020-04-23	3517	326	301
2020-04-24	3599	327	326
2020-04-25	3684	334	346
2020-04-26	3798	335	353
2020-04-27	3869	337	367
2020-04-28	4002	363	370
2020-04-29	4092	440	370
2020-04-30	4175	486	371
2020-05-01	4317	488	375
2020-05-02	4397	513	392
2020-05-03	4463	632	398
2020-05-04	4539	632	408
2020-05-05	4687	704	409
2020-05-06	4770	741	414
2020-05-07	4855	745	423
2020-05-08	4955	745	424
2020-05-09	5056	752	427
2020-05-10	5190	803	434
2020-05-11	5276	812	441
2020-05-12	5375	924	443
2020-05-13	5554	1026	449
2020-05-14	5688	1162	452
2020-05-15	5774	1276	460
2020-05-16	5881	1295	460
2020-05-17	6010	1306	463
2020-05-18	6059	1307	463
2020-05-19	6155	1329	470
2020-05-20	6236	1329	472
2020-05-21	6301	1458	481
2020-05-22	6400	1510	500
2020-05-23	6515	1564	501
2020-05-24	6634	1586	501
2020-05-25	6709	1655	501
2020-05-26	6798	1668	501
2020-05-27	6895	1682	509
2020-05-28	7001	1702	509
2020-05-29	7128	1739	509
2020-05-30	7229	2005	516
2020-05-31	7348	2082	517
2020-06-01	7485	2272	518
2020-06-02	7541	2399	518
2020-06-03	7623	2586	523
2020-06-04	7690	2607	523
2020-06-05	7766	2751	524
2020-06-06	7870	2836	524
2020-06-07	8033	3130	529
2020-06-08	8121	3206	529
2020-06-09	8355	3371	533
2020-06-10	8503	3517	535
2020-06-11	8650	3661	537
2020-06-12	8740	3781	540
2020-06-13	8861	3840	548
2020-06-14	8978	4089	555
2020-06-15	9120	4195	557
2020-06-16	9222	4329	557
2020-06-17	9349	4445	563
2020-06-18	9516	4573	578
2020-06-19	9655	4699	578
2020-06-20	9829	4821	585
2020-06-21	9971	5054	586
2020-06-22	10098	5128	586
2020-06-23	10250	5228	594
2020-06-24	10404	5322	602
2020-06-25	10600	5434	608
2020-06-26	10796	5542	616
2020-06-27	10994	5610	624
2020-06-28	11114	5865	625
2020-06-29	11237	6118	625
2020-06-30	11424	6512	632
2020-07-01	11637	6680	632
2020-07-02	11823	6871	638
2020-07-03	11961	7109	643
2020-07-04	12183	7377	643
2020-07-05	12435	7663	649
2020-07-06	12667	8036	649
2020-07-07	12857	8277	661
2020-07-08	13211	8424	665
2020-07-09	13488	8645	671
2020-07-10	13739	8825	671
2020-07-11	14113	9040	681
2020-07-12	14517	9200	691
2020-07-13	14797	9408	697
2020-07-14	15064	9528	701
2020-07-15	15324	9721	706
2020-07-16	15636	9855	713
2020-07-17	15889	9994	719
2020-07-18	16236	10118	727
2020-07-19	16899	10598	745
2020-07-20	16899	10598	745
2020-07-21	17279	10819	748
2020-07-22	17621	11145	751
2020-07-23	18068	11283	751
2020-07-24	18365	11552	755
2020-07-25	18741	11725	755
2020-07-27	19125	11886	759
2020-07-28	19592	11997	769
2020-07-30	20969	12803	817
2020-07-31	21399	13208	831
2020-08-02	22144	14027	844
2020-08-03	22616	14165	860
