date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	2	0	1
2020-03-14	2	0	1
2020-03-15	4	0	1
2020-03-16	5	0	1
2020-03-17	6	0	1
2020-03-18	8	0	2
2020-03-19	12	0	2
2020-03-20	12	0	3
2020-03-21	14	0	3
2020-03-22	15	0	3
2020-03-23	15	0	3
2020-03-24	19	0	3
2020-03-25	38	0	4
2020-03-26	40	0	6
2020-03-27	43	0	6
2020-03-28	55	0	7
2020-03-29	63	0	7
2020-03-30	81	0	7
2020-03-31	93	0	7
2020-04-01	104	0	7
2020-04-02	104	0	7
2020-04-03	114	11	18
2020-04-04	120	11	18
2020-04-05	120	14	18
2020-04-06	132	14	22
2020-04-07	133	14	22
2020-04-08	140	14	22
2020-04-09	144	18	22
2020-04-10	144	18	22
2020-04-11	144	18	22
2020-04-12	200	19	25
2020-04-13	203	19	25
2020-04-14	278	19	26
2020-04-15	292	19	27
2020-04-16	300	19	27
2020-04-17	304	36	41
2020-04-18	329	44	41
2020-04-19	349	51	44
2020-04-20	351	51	44
2020-04-21	449	51	44
2020-04-22	479	54	53
2020-04-23	538	54	53
2020-04-24	575	58	54
2020-04-25	621	58	54
2020-04-26	649	72	58
2020-04-27	666	88	58
2020-04-28	682	89	58
2020-04-29	711	101	59
2020-04-30	724	102	59
2020-05-01	746	112	60
2020-05-02	767	112	62
2020-05-03	776	112	62
2020-05-04	798	112	62
2020-05-05	849	132	62
2020-05-06	891	145	64
2020-05-07	904	145	64
2020-05-08	933	161	65
2020-05-09	959	173	66
2020-05-10	978	173	66
2020-05-11	980	229	66
2020-05-12	989	229	66
2020-05-13	1023	229	66
2020-05-14	1066	229	66
2020-05-15	1109	234	70
2020-05-16	1140	247	70
2020-05-17	1157	247	70
2020-05-18	1165	252	70
2020-05-19	1175	252	70
2020-05-20	1192	253	70
2020-05-21	1217	255	70
2020-05-22	1234	255	70
2020-05-23	1288	255	70
2020-05-24	1309	259	70
2020-05-25	1311	260	70
2020-05-26	1315	275	70
2020-05-27	1326	275	70
2020-05-28	1336	276	70
2020-05-29	1350	336	70
2020-05-30	1366	355	70
2020-05-31	1403	361	70
2020-06-01	1417	370	70
2020-06-02	1432	371	70
2020-06-03	1455	371	71
2020-06-04	1479	372	71
2020-06-05	1537	407	76
2020-06-06	1564	409	76
2020-06-07	1615	418	98
2020-06-08	1642	428	98
2020-06-09	1674	508	103
2020-06-10	1813	626	103
2020-06-11	1832	631	103
2020-06-12	1876	681	103
