date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	1	0	0
2020-03-18	1	0	0
2020-03-19	3	0	0
2020-03-20	4	0	0
2020-03-21	4	0	0
2020-03-22	4	0	0
2020-03-23	5	0	0
2020-03-24	5	0	1
2020-03-25	5	0	1
2020-03-26	5	0	1
2020-03-27	5	0	1
2020-03-28	5	0	1
2020-03-29	5	0	1
2020-03-30	6	0	1
2020-03-31	7	0	1
2020-04-01	7	0	1
2020-04-02	7	0	1
2020-04-03	8	0	1
2020-04-04	8	2	1
2020-04-05	9	2	1
2020-04-06	9	2	1
2020-04-07	9	2	1
2020-04-08	9	2	1
2020-04-09	22	2	1
2020-04-10	21	2	1
2020-04-11	21	2	1
2020-04-12	21	2	1
2020-04-13	21	2	1
2020-04-14	26	2	5
2020-04-15	32	2	5
2020-04-16	38	5	7
2020-04-17	58	5	7
2020-04-18	79	6	7
2020-04-19	79	6	7
2020-04-20	79	6	7
2020-04-21	81	8	8
2020-04-22	81	8	8
2020-04-23	83	8	8
2020-04-24	83	9	8
2020-04-25	83	9	8
2020-04-26	85	9	8
2020-04-27	86	9	8
2020-04-28	89	11	8
2020-04-29	89	11	9
2020-04-30	89	11	9
2020-05-01	89	15	9
2020-05-02	89	22	9
2020-05-03	92	42	9
2020-05-04	92	42	9
2020-05-05	97	46	10
2020-05-06	98	57	10
2020-05-07	98	63	10
2020-05-08	100	67	10
2020-05-09	101	67	10
2020-05-10	101	68	11
2020-05-11	104	72	11
2020-05-12	106	72	11
2020-05-13	111	77	11
2020-05-14	111	77	11
2020-05-15	115	77	11
2020-05-16	116	80	11
2020-05-17	116	80	11
2020-05-18	127	83	11
2020-05-19	140	83	11
2020-05-20	140	83	12
2020-05-21	140	83	12
2020-05-22	141	83	12
2020-05-23	150	86	12
2020-05-24	154	87	12
2020-05-25	154	88	12
2020-05-26	154	88	12
2020-05-27	162	89	13
2020-05-28	175	89	13
2020-05-29	178	97	14
2020-05-30	196	102	14
2020-05-31	197	102	15
