date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	2	0	0
2020-03-21	2	0	0
2020-03-22	2	0	0
2020-03-23	2	0	0
2020-03-24	3	0	0
2020-03-25	3	0	0
2020-03-26	6	0	0
2020-03-27	6	0	0
2020-03-28	7	0	0
2020-03-29	7	0	0
2020-03-30	7	0	0
2020-03-31	9	0	0
2020-04-01	9	0	0
2020-04-02	9	2	0
2020-04-03	12	2	0
2020-04-04	11	2	0
2020-04-05	11	4	0
2020-04-06	20	4	0
2020-04-07	20	6	0
2020-04-08	20	6	0
2020-04-09	20	6	0
2020-04-10	24	7	1
2020-04-11	24	7	1
2020-04-12	24	7	1
2020-04-13	25	8	1
2020-04-14	25	8	1
2020-04-15	33	8	2
2020-04-16	34	8	2
2020-04-17	35	8	2
2020-04-18	41	8	2
2020-04-19	46	8	2
2020-04-20	60	9	3
2020-04-21	67	9	4
2020-04-22	82	9	4
2020-04-23	83	9	4
2020-04-24	94	9	4
2020-04-25	100	9	4
2020-04-26	104	9	4
2020-04-27	112	10	5
2020-04-28	121	11	6
2020-04-29	127	11	6
2020-04-30	145	11	6
2020-05-01	156	11	6
2020-05-02	157	11	6
2020-05-03	157	15	7
2020-05-04	180	15	7
2020-05-05	181	15	7
2020-05-06	186	15	7
2020-05-07	188	15	7
2020-05-08	188	29	7
2020-05-09	189	30	7
2020-05-10	193	30	7
2020-05-11	200	30	7
2020-05-12	204	30	7
2020-05-13	220	30	7
2020-05-14	223	40	7
2020-05-15	227	87	11
2020-05-16	227	87	11
2020-05-17	227	87	11
2020-05-18	227	87	11
2020-05-19	232	87	11
2020-05-20	241	105	11
2020-05-21	254	115	11
2020-05-22	290	130	15
2020-05-23	292	130	15
2020-05-24	308	130	15
2020-05-25	310	151	17
2020-05-26	322	151	17
2020-05-27	330	151	17
2020-05-28	337	151	17
2020-05-29	367	158	17
2020-05-30	398	164	19
2020-05-31	410	164	19
2020-06-01	419	164	19
2020-06-02	428	182	20
2020-06-03	456	191	24
2020-06-04	469	191	24
2020-06-05	484	191	26
2020-06-06	496	191	26
2020-06-07	496	202	26
2020-06-08	504	202	28
2020-06-09	522	202	28
2020-06-10	537	213	29
2020-06-11	552	213	29
2020-06-12	565	215	29
