date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	1	0	0
2020-03-23	1	0	0
2020-03-24	1	0	0
2020-03-25	1	0	0
2020-03-26	1	0	0
2020-03-27	1	0	0
2020-03-28	1	0	0
2020-03-29	1	0	0
2020-03-30	1	0	0
2020-03-31	1	0	0
2020-04-01	1	1	0
2020-04-02	1	1	0
2020-04-03	1	1	0
2020-04-04	1	1	0
2020-04-05	1	1	0
2020-04-06	1	1	0
2020-04-07	1	1	0
2020-04-08	3	1	0
2020-04-09	3	1	0
2020-04-10	3	1	0
2020-04-11	3	1	0
2020-04-12	11	1	0
2020-04-13	11	1	0
2020-04-14	11	1	0
2020-04-15	14	1	0
2020-04-16	14	1	0
2020-04-17	14	1	0
2020-04-18	17	6	0
2020-04-19	17	6	0
2020-04-20	17	10	0
2020-04-21	17	10	0
2020-04-22	17	10	0
2020-04-23	17	10	0
2020-04-24	17	10	0
2020-04-25	22	10	0
2020-04-26	22	11	0
2020-04-27	22	11	0
2020-04-28	22	12	0
2020-04-29	23	12	0
2020-04-30	23	12	0
2020-05-01	23	12	0
2020-05-02	23	12	0
2020-05-03	23	12	0
2020-05-04	23	12	0
2020-05-05	23	12	0
2020-05-06	23	12	0
2020-05-07	23	12	0
2020-05-08	32	12	2
2020-05-09	32	12	2
2020-05-10	32	12	2
2020-05-11	32	12	2
2020-05-12	50	17	4
2020-05-13	50	17	4
2020-05-14	62	17	4
2020-05-15	62	17	4
2020-05-16	62	17	4
2020-05-17	84	17	6
2020-05-18	107	21	6
2020-05-19	107	21	6
2020-05-20	124	21	7
2020-05-21	135	22	7
2020-05-22	157	22	7
2020-05-23	157	22	7
2020-05-24	159	22	7
2020-05-25	160	27	7
2020-05-26	160	27	7
2020-05-27	170	27	7
2020-05-28	188	34	8
2020-05-29	215	35	8
2020-05-30	215	35	8
2020-05-31	223	36	8
2020-06-01	223	36	8
2020-06-02	223	36	8
2020-06-03	238	55	8
2020-06-04	238	55	8
2020-06-05	254	64	8
2020-06-06	261	67	8
2020-06-07	269	67	8
2020-06-08	307	80	8
2020-06-09	315	89	8
2020-06-10	328	89	8
2020-06-11	328	89	9
2020-06-12	387	104	10
2020-06-13	400	105	10
2020-06-14	421	109	10
2020-06-15	452	109	11
2020-06-16	496	111	13
2020-06-17	520	113	13
2020-06-18	537	113	13
2020-06-19	544	136	13
2020-06-20	581	161	13
2020-06-21	603	161	13
2020-06-22	633	164	13
2020-06-23	634	168	13
2020-06-24	671	172	14
2020-06-25	684	190	14
2020-06-26	691	196	15
2020-06-27	705	218	15
2020-06-28	711	230	15
2020-06-29	726	257	15
2020-06-30	742	264	16
2020-07-01	749	282	16
2020-07-02	762	307	17
2020-07-03	769	316	17
2020-07-04	776	316	17
2020-07-05	794	377	17
2020-07-06	804	381	17
2020-07-07	830	414	17
2020-07-08	837	466	17
2020-07-09	845	487	17
2020-07-10	858	509	17
2020-07-11	864	539	17
2020-07-12	874	564	17
2020-07-13	900	568	17
2020-07-14	900	568	17
2020-07-15	920	579	17
2020-07-16	926	598	17
2020-07-17	928	599	17
2020-07-18	929	599	18
2020-07-19	979	613	20
2020-07-20	979	613	20
2020-07-21	998	622	20
2020-07-22	998	622	20
2020-07-23	1010	629	20
2020-07-24	1010	632	20
2020-07-25	1016	632	20
2020-07-27	1046	634	21
2020-07-28	1046	634	21
2020-07-30	1093	699	23
2020-07-31	1093	699	23
2020-08-02	1135	748	23
2020-08-03	1135	750	23
2020-08-04	1146	756	23
2020-08-05	1175	768	23
2020-08-06	1221	779	25
2020-08-07	1292	786	25
2020-08-09	1298	790	25
2020-08-10	1345	803	25
2020-08-11	1347	856	25
2020-08-12	1367	885	25
2020-08-14	1416	910	25
2020-08-15	1416	910	25
2020-08-16	1495	946	28
2020-08-17	1521	946	29
2020-08-18	1530	974	30
2020-08-19	1553	995	30
2020-08-20	1611	995	31
2020-08-21	1611	995	31
2020-08-22	1615	997	31
2020-08-23	1669	997	31
2020-08-24	1677	1007	31
2020-08-25	1742	1052	32
2020-08-26	1748	1083	33
2020-08-29	1812	1102	33
2020-08-30	1832	1102	33
2020-08-31	1857	1158	33
2020-09-01	1900	1196	33
2020-09-02	1910	1206	34
2020-09-03	1961	1223	34
2020-09-04	2004	1248	34
2020-09-05	2064	1266	35
2020-09-06	2064	1266	35
2020-09-07	2164	1317	36
2020-09-08	2206	1364	36
2020-09-10	2228	1375	36
2020-09-11	2228	1375	36
2020-09-12	2377	1420	38
2020-09-13	2434	1420	38
