date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	1	0	0
2020-03-24	1	0	0
2020-03-25	1	0	0
2020-03-26	1	0	0
2020-03-27	1	0	0
2020-03-28	1	0	0
2020-03-29	1	0	0
2020-03-30	1	0	0
2020-03-31	1	0	0
2020-04-01	1	0	0
2020-04-02	1	0	0
2020-04-03	1	0	0
2020-04-04	1	0	0
2020-04-05	1	0	0
2020-04-06	1	0	0
2020-04-07	1	0	0
2020-04-08	2	0	0
2020-04-09	2	1	0
2020-04-10	2	1	0
2020-04-11	2	1	0
2020-04-12	2	1	0
2020-04-13	2	1	0
2020-04-14	2	1	0
2020-04-15	4	2	0
2020-04-16	4	2	0
2020-04-17	4	2	0
2020-04-18	4	2	0
2020-04-19	4	2	0
2020-04-20	4	2	0
2020-04-21	4	2	0
2020-04-22	12	2	0
2020-04-23	14	2	0
2020-04-24	14	2	0
2020-04-25	14	2	0
2020-04-26	26	2	0
2020-04-27	26	2	0
2020-04-28	26	3	0
2020-04-29	26	3	0
2020-04-30	40	3	0
2020-05-01	41	3	0
2020-05-02	41	3	0
2020-05-03	50	5	0
2020-05-04	50	5	0
2020-05-05	50	5	0
2020-05-06	50	5	0
2020-05-07	50	5	0
2020-05-08	50	5	0
2020-05-09	54	8	0
2020-05-10	54	8	0
2020-05-11	54	8	0
2020-05-12	54	8	0
2020-05-13	78	8	3
2020-05-14	81	11	3
2020-05-15	85	12	3
2020-05-16	88	12	4
2020-05-17	92	12	4
2020-05-18	93	12	4
2020-05-19	95	12	4
2020-05-20	96	12	4
2020-05-21	97	12	4
2020-05-22	99	12	4
2020-05-23	99	12	4
2020-05-24	100	12	5
2020-05-25	107	14	5
2020-05-26	118	17	5
2020-05-27	119	18	6
2020-05-28	128	21	6
2020-05-29	139	21	7
2020-05-30	146	27	7
2020-05-31	153	27	11
