date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	0	0	0
2020-03-27	2	0	0
2020-03-28	2	0	0
2020-03-29	2	0	0
2020-03-30	2	0	0
2020-03-31	2	0	1
2020-04-01	2	0	1
2020-04-02	2	0	1
2020-04-03	2	0	1
2020-04-04	2	0	1
2020-04-05	2	0	1
2020-04-06	2	0	1
2020-04-07	2	0	1
2020-04-08	2	0	1
2020-04-09	2	0	1
2020-04-10	2	0	1
2020-04-11	2	0	1
2020-04-12	3	0	1
2020-04-13	2	0	1
2020-04-14	2	0	1
2020-04-15	2	0	1
2020-04-16	5	0	1
2020-04-17	5	0	1
2020-04-18	5	0	1
2020-04-19	7	0	1
2020-04-20	7	0	1
2020-04-21	7	0	1
2020-04-22	8	0	1
2020-04-23	13	0	1
2020-04-24	15	0	1
2020-04-25	16	0	1
2020-04-26	16	0	1
2020-04-27	16	0	1
2020-04-28	37	0	1
2020-04-29	37	0	1
2020-04-30	37	0	1
2020-05-01	42	0	1
2020-05-02	43	0	1
2020-05-03	43	0	1
2020-05-04	43	0	1
2020-05-05	49	0	1
2020-05-06	53	0	1
2020-05-07	53	0	1
2020-05-08	53	0	1
2020-05-09	53	0	1
2020-05-10	70	2	1
2020-05-11	70	2	1
2020-05-12	70	2	1
2020-05-13	70	2	1
2020-05-14	88	2	1
2020-05-15	88	2	1
2020-05-16	102	5	1
2020-05-17	105	5	1
2020-05-18	105	5	1
2020-05-19	105	5	1
2020-05-20	106	6	1
2020-05-21	110	7	1
2020-05-22	119	11	1
2020-05-23	129	19	2
2020-05-24	130	19	2
2020-05-25	130	22	2
2020-05-26	132	35	2
2020-05-27	132	36	2
2020-05-28	152	38	2
2020-05-29	158	42	2
