date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	1	0	0
2020-03-19	2	0	0
2020-03-20	1	0	0
2020-03-21	1	0	0
2020-03-22	1	0	0
2020-03-23	1	0	0
2020-03-24	2	0	0
2020-03-25	1	0	0
2020-03-26	2	0	0
2020-03-27	1	0	0
2020-03-28	1	0	0
2020-03-29	2	0	0
2020-03-30	3	0	0
2020-03-31	3	0	0
2020-04-01	3	1	0
2020-04-02	7	1	0
2020-04-03	10	1	0
2020-04-04	10	1	0
2020-04-05	11	1	0
2020-04-06	12	1	0
2020-04-07	12	1	0
2020-04-08	12	1	0
2020-04-09	12	1	0
2020-04-10	13	1	0
2020-04-11	16	1	0
2020-04-12	16	1	0
2020-04-13	20	1	0
2020-04-14	20	1	0
2020-04-15	20	1	0
2020-04-16	24	5	3
2020-04-17	26	9	4
2020-04-18	30	9	4
2020-04-19	30	9	4
2020-04-20	34	9	4
2020-04-21	35	9	4
2020-04-22	35	9	4
2020-04-23	36	9	4
2020-04-24	36	12	4
2020-04-25	38	13	4
2020-04-26	39	14	4
2020-04-27	39	14	4
2020-04-28	40	15	4
2020-04-29	41	15	4
2020-04-30	41	16	4
2020-05-01	42	16	4
2020-05-02	45	23	5
2020-05-03	53	26	5
2020-05-04	58	26	6
2020-05-05	61	27	6
2020-05-06	61	28	6
2020-05-07	66	28	6
2020-05-08	69	28	6
2020-05-09	71	38	6
2020-05-10	73	39	6
2020-05-11	74	46	6
2020-05-12	81	49	6
2020-05-13	88	49	6
2020-05-14	94	49	6
2020-05-15	95	53	6
2020-05-16	95	54	6
2020-05-17	99	60	6
2020-05-18	101	61	6
2020-05-19	106	62	6
2020-05-20	107	63	6
2020-05-21	108	63	6
2020-05-22	109	66	6
2020-05-23	110	66	6
2020-05-24	111	66	6
2020-05-25	111	66	6
2020-05-26	111	76	6
2020-05-27	111	77	6
2020-05-28	111	80	6
2020-05-29	117	84	6
2020-05-30	117	85	6
2020-05-31	117	88	6
2020-06-01	117	89	6
2020-06-02	117	92	6
2020-06-03	117	96	6
2020-06-04	117	99	6
2020-06-05	117	100	6
2020-06-06	118	101	6
2020-06-07	118	101	6
2020-06-08	118	103	6
2020-06-09	120	107	6
2020-06-10	120	107	6
2020-06-11	120	107	6
2020-06-12	120	108	6
2020-06-13	125	109	6
2020-06-14	125	109	6
2020-06-15	126	111	6
2020-06-16	126	111	6
2020-06-17	128	112	6
2020-06-18	134	113	8
2020-06-19	142	114	8
2020-06-20	142	116	8
2020-06-21	142	116	8
2020-06-22	166	117	8
2020-06-23	193	117	9
2020-06-24	217	120	9
2020-06-25	220	121	10
2020-06-26	223	121	10
2020-06-27	223	121	10
2020-06-28	224	139	10
2020-06-29	226	166	10
2020-06-30	226	176	10
2020-07-01	227	178	10
2020-07-02	228	188	10
2020-07-03	232	200	10
2020-07-04	233	205	10
2020-07-05	234	208	10
2020-07-06	235	212	11
2020-07-07	236	214	11
2020-07-08	236	215	11
2020-07-09	238	216	11
2020-07-10	238	217	11
2020-07-11	239	217	11
2020-07-12	240	218	11
2020-07-13	243	221	11
2020-07-14	246	221	11
2020-07-15	246	222	11
2020-07-16	251	224	11
2020-07-17	256	224	11
2020-07-18	261	224	11
2020-07-19	287	230	11
2020-07-20	287	230	11
2020-07-21	310	232	11
2020-07-22	348	232	11
2020-07-23	350	233	11
2020-07-24	362	234	11
2020-07-25	367	244	11
2020-07-27	378	256	11
2020-07-28	382	266	11
2020-07-30	426	305	12
2020-07-31	445	308	12
2020-08-02	456	328	12
2020-08-03	506	332	13
2020-08-04	577	344	13
2020-08-05	606	348	13
2020-08-06	621	360	13
2020-08-07	656	369	13
2020-08-09	706	373	13
2020-08-10	773	404	14
2020-08-11	789	426	14
2020-08-12	821	437	14
2020-08-14	918	536	14
2020-08-15	918	536	14
2020-08-16	983	601	15
2020-08-17	1017	618	16
2020-08-18	1039	640	16
2020-08-19	1050	659	16
2020-08-20	1097	695	17
2020-08-21	1132	721	17
2020-08-22	1195	751	18
2020-08-23	1237	767	19
2020-08-24	1279	819	21
2020-08-25	1319	831	22
2020-08-26	1361	854	22
2020-08-29	1605	937	30
2020-08-30	1739	965	30
2020-08-31	1846	1008	34
2020-09-01	1924	1028	35
2020-09-02	2031	1038	36
2020-09-03	2137	1061	37
2020-09-04	2267	1116	42
2020-09-05	2445	1223	42
2020-09-06	2445	1223	42
2020-09-07	2718	1301	49
2020-09-08	2831	1344	52
2020-09-10	2969	1428	55
2020-09-11	2969	1428	55
2020-09-12	3569	1581	62
2020-09-13	3781	1607	70
