date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	2	0	0
2020-03-20	2	0	0
2020-03-21	2	0	0
2020-03-22	2	0	0
2020-03-23	2	0	1
2020-03-24	4	0	1
2020-03-25	13	0	1
2020-03-26	27	0	1
2020-03-27	29	0	1
2020-03-28	33	0	1
2020-03-29	47	0	1
2020-03-30	50	0	1
2020-03-31	50	0	1
2020-04-01	66	0	5
2020-04-02	66	0	5
2020-04-03	82	4	5
2020-04-04	82	9	5
2020-04-05	83	9	5
2020-04-06	113	19	6
2020-04-07	127	21	6
2020-04-08	127	21	6
2020-04-09	138	23	8
2020-04-10	167	24	11
2020-04-11	178	25	15
2020-04-12	222	25	15
2020-04-13	223	31	15
2020-04-14	231	33	15
2020-04-15	242	42	15
2020-04-16	271	42	23
2020-04-17	332	43	23
2020-04-18	343	43	25
2020-04-19	370	43	25
2020-04-20	370	63	25
2020-04-21	374	73	30
2020-04-22	387	75	30
2020-04-23	397	80	34
2020-04-24	420	81	35
2020-04-25	432	82	36
2020-04-26	440	99	36
2020-04-27	440	106	37
2020-04-28	453	108	37
2020-04-29	465	118	37
2020-04-30	491	122	37
2020-05-01	547	135	37
2020-05-02	577	145	40
2020-05-03	601	151	40
2020-05-04	607	199	40
2020-05-05	640	228	42
2020-05-06	665	235	45
2020-05-07	684	238	45
2020-05-08	708	251	46
2020-05-09	710	260	46
2020-05-10	722	265	47
2020-05-11	722	276	49
2020-05-12	747	283	49
2020-05-13	803	288	49
2020-05-14	840	293	51
2020-05-15	871	293	51
2020-05-16	917	312	52
2020-05-17	951	319	53
2020-05-18	1017	337	55
2020-05-19	1064	358	55
2020-05-20	1101	367	56
2020-05-21	1135	398	59
2020-05-22	1206	417	61
2020-05-23	1264	423	61
2020-05-24	1296	456	63
2020-05-25	1319	462	66
2020-05-26	1352	499	68
2020-05-27	1381	518	68
2020-05-28	1427	520	68
