date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	1	0	0
2020-03-14	1	0	0
2020-03-15	1	0	0
2020-03-16	1	0	0
2020-03-17	2	0	0
2020-03-18	3	0	0
2020-03-19	5	0	0
2020-03-20	4	0	0
2020-03-21	5	1	0
2020-03-22	5	1	0
2020-03-23	5	1	0
2020-03-24	6	1	1
2020-03-25	17	1	2
2020-03-26	16	1	2
2020-03-27	22	1	2
2020-03-28	22	1	2
2020-03-29	22	1	2
2020-03-30	18	1	2
2020-03-31	23	1	2
2020-04-01	28	1	2
2020-04-02	27	1	3
2020-04-03	27	1	3
2020-04-04	33	1	3
2020-04-05	34	1	3
2020-04-06	40	1	3
2020-04-07	41	1	3
2020-04-08	41	6	7
2020-04-09	41	6	7
2020-04-10	41	6	7
2020-04-11	41	6	7
2020-04-12	41	6	7
2020-04-13	57	6	7
2020-04-14	62	18	7
2020-04-15	62	18	7
2020-04-16	62	22	7
2020-04-17	64	25	7
2020-04-18	67	26	7
2020-04-19	67	27	7
2020-04-20	69	28	7
2020-04-21	72	30	7
2020-04-22	75	30	7
2020-04-23	76	32	7
2020-04-24	77	36	7
2020-04-25	79	36	7
2020-04-26	82	36	7
2020-04-27	83	37	7
2020-04-28	93	39	7
2020-04-29	94	40	7
2020-04-30	95	43	7
2020-05-01	104	44	7
2020-05-02	114	48	7
2020-05-03	115	49	7
2020-05-04	115	50	7
2020-05-05	121	52	7
2020-05-06	122	53	7
2020-05-07	137	57	7
2020-05-08	143	59	7
2020-05-09	146	59	7
2020-05-10	153	60	7
2020-05-11	159	61	7
2020-05-12	169	63	7
2020-05-13	181	68	7
2020-05-14	185	68	7
2020-05-15	188	71	7
2020-05-16	194	77	8
2020-05-17	199	85	8
2020-05-18	200	90	8
2020-05-19	207	95	8
2020-05-20	209	97	8
2020-05-21	215	105	8
2020-05-22	220	117	8
2020-05-23	225	121	8
2020-05-24	226	122	8
2020-05-25	226	124	8
2020-05-26	226	131	8
2020-05-27	228	134	8
2020-05-28	228	142	8
2020-05-29	230	149	8
2020-05-30	233	158	8
2020-05-31	236	160	8
2020-06-01	237	166	8
2020-06-02	237	168	8
2020-06-03	237	170	8
2020-06-04	237	174	8
2020-06-05	238	174	8
2020-06-06	242	178	8
2020-06-07	244	182	8
2020-06-08	247	185	8
2020-06-09	249	191	8
2020-06-10	250	194	8
2020-06-11	252	195	8
2020-06-12	262	196	8
2020-06-13	264	204	8
2020-06-14	269	210	8
2020-06-15	272	211	8
2020-06-16	273	213	8
2020-06-17	276	216	8
2020-06-18	276	219	8
2020-06-19	277	226	8
2020-06-20	285	231	8
2020-06-21	288	231	8
2020-06-22	288	238	8
2020-06-23	291	238	8
2020-06-24	292	242	8
2020-06-25	299	247	8
2020-06-26	302	252	8
2020-06-27	304	257	8
2020-06-28	306	260	8
2020-06-29	306	261	8
2020-06-30	313	263	8
2020-07-01	314	264	8
2020-07-02	320	269	8
2020-07-03	324	271	8
2020-07-04	325	275	8
2020-07-05	331	276	8
2020-07-06	339	278	8
2020-07-07	346	282	8
2020-07-08	349	285	8
2020-07-09	357	287	9
2020-07-10	364	288	9
2020-07-11	370	291	9
2020-07-12	371	293	9
2020-07-13	379	295	10
2020-07-14	387	304	10
2020-07-15	396	309	10
2020-07-16	404	313	11
2020-07-17	408	314	11
2020-07-18	416	315	11
2020-07-19	438	326	12
2020-07-20	438	326	12
2020-07-21	465	329	13
2020-07-22	486	331	14
2020-07-23	496	335	15
2020-07-24	519	336	15
2020-07-25	536	343	16
2020-07-27	543	347	17
2020-07-28	558	350	17
2020-07-30	610	382	19
2020-07-31	674	399	20
2020-08-02	760	421	21
2020-08-03	772	434	21
2020-08-04	784	448	21
2020-08-05	801	477	21
2020-08-06	819	497	21
2020-08-07	838	525	21
2020-08-09	854	552	23
2020-08-10	876	593	25
2020-08-11	880	609	25
2020-08-12	900	633	26
2020-08-14	946	658	28
2020-08-15	946	658	28
2020-08-16	1025	675	28
2020-08-17	1041	682	28
2020-08-18	1059	695	29
2020-08-19	1090	713	29
2020-08-20	1138	765	31
2020-08-21	1163	793	32
2020-08-22	1178	808	33
2020-08-23	1193	826	33
2020-08-24	1207	846	34
2020-08-25	1248	857	34
2020-08-26	1264	892	36
2020-08-29	1373	968	37
2020-08-30	1397	976	37
2020-08-31	1425	1026	39
2020-09-01	1445	1036	39
2020-09-02	1474	1061	41
2020-09-03	1507	1075	43
2020-09-04	1525	1096	44
2020-09-05	1546	1116	45
2020-09-06	1546	1116	45
2020-09-07	1571	1189	46
2020-09-08	1595	1216	47
2020-09-10	1645	1268	48
2020-09-11	1645	1268	48
2020-09-12	1787	1325	50
2020-09-13	1836	1332	52
