date	cases	recoveries	deaths
2020-02-19	2	0	2
2020-02-20	2	0	5
2020-02-21	4	0	18
2020-02-22	5	0	28
2020-02-23	8	1	43
2020-02-24	12	3	64
2020-02-25	15	25	95
2020-02-26	19	25	139
2020-02-27	26	54	245
2020-02-28	34	73	388
2020-02-29	43	123	593
2020-03-01	54	175	978
2020-03-02	66	291	1501
2020-03-03	77	435	2336
2020-03-04	92	552	2922
2020-03-05	107	739	3513
2020-03-06	124	913	4747
2020-03-07	145	1669	5823
2020-03-08	194	2134	6566
2020-03-09	237	2394	7161
2020-03-10	291	2731	8042
2020-03-11	354	2959	9000
2020-03-12	429	3276	10075
2020-03-13	514	3529	11364
2020-03-14	611	4339	12729
2020-03-15	724	4590	13938
2020-03-16	853	4996	14991
2020-03-17	988	5389	16169
2020-03-18	1135	5710	17361
2020-03-19	1284	5979	18407
2020-03-20	1433	6745	19644
2020-03-21	1556	7635	20610
2020-03-22	1685	7931	21638
2020-03-23	1812	8376	23049
2020-03-24	1934	9001	24811
2020-03-25	2077	9625	27077
2020-03-26	2234	10457	29406
2020-03-27	2378	11133	32332
2020-03-28	2517	11679	35408
2020-03-29	2640	12391	38309
2020-03-30	2757	13911	41495
2020-03-31	2898	14656	44606
2020-04-01	3036	15473	47593
2020-04-02	3160	16711	50468
2020-04-03	3294	17935	53183
2020-04-04	3452	19736	55743
2020-04-05	3603	22011	58226
2020-04-06	3739	24236	60500
2020-04-07	3872	27039	62589
2020-04-08	3993	29812	64586
2020-04-09	4110	32309	66220
2020-04-10	4232	35465	68192
2020-04-11	4357	41947	70029
2020-04-12	4474	43894	71686
2020-04-13	4585	45983	73303
2020-04-14	4683	48129	74877
2020-04-15	4777	49933	76389
2020-04-16	4869	52229	77995
2020-04-17	4958	54064	79494
2020-04-18	5031	55987	80868
2020-04-19	5118	57023	82211
2020-04-20	5209	59273	83505
2020-04-21	5297	60965	84802
2020-04-22	5391	63113	85996
2020-04-23	5481	64843	87026
2020-04-24	5574	66596	88194
2020-04-25	5650	68193	89328
2020-04-26	5710	69657	90481
2020-04-27	5806	70993	91472
2020-04-28	5877	72439	92584
2020-04-29	5957	73791	93657
2020-04-30	6028	75103	94640
2020-05-01	6091	76318	95646
2020-05-02	6156	77350	96448
2020-05-03	6203	78422	97424
2020-05-04	6277	79379	98647
2020-05-05	6340	80475	99970
2020-05-06	6418	81587	101650
2020-05-07	6486	82744	103135
2020-05-08	6541	83837	104691
2020-05-09	6589	85064	106220
2020-05-10	6640	86143	107603
2020-05-11	6685	87422	109286
2020-05-12	6733	88357	110767
2020-05-13	6783	89428	112725
2020-05-14	6854	90539	114533
2020-05-15	6902	91836	116635
2020-05-16	6937	93147	118392
