date	cases	recoveries	deaths
2020-01-31	2	0	0
2020-02-01	2	0	0
2020-02-02	2	0	0
2020-02-03	2	0	0
2020-02-04	2	0	0
2020-02-05	2	0	0
2020-02-06	3	0	0
2020-02-07	3	0	0
2020-02-08	3	0	0
2020-02-09	3	0	0
2020-02-10	3	0	0
2020-02-11	3	0	0
2020-02-12	3	0	0
2020-02-13	3	0	0
2020-02-14	3	0	0
2020-02-15	3	0	0
2020-02-16	3	0	0
2020-02-17	3	0	0
2020-02-18	3	0	0
2020-02-19	3	0	0
2020-02-20	3	0	0
2020-02-21	20	0	1
2020-02-22	79	2	2
2020-02-23	150	2	3
2020-02-24	229	1	6
2020-02-25	322	1	10
2020-02-26	445	3	12
2020-02-27	650	45	17
2020-02-28	888	46	21
2020-02-29	1128	50	29
2020-03-01	1694	83	34
2020-03-02	2036	149	52
2020-03-03	2502	160	79
2020-03-04	3089	276	107
2020-03-05	3858	414	148
2020-03-06	4636	523	197
2020-03-07	5883	589	233
2020-03-08	7375	622	366
2020-03-09	9172	724	463
2020-03-10	10149	1004	631
2020-03-11	12462	1045	827
2020-03-12	15113	1258	1016
2020-03-13	17660	1439	1266
2020-03-14	21157	1966	1441
2020-03-15	24747	2335	1809
2020-03-16	27980	2749	2158
2020-03-17	31506	2941	2503
2020-03-18	35713	4025	2978
2020-03-19	41035	4440	3405
2020-03-20	47021	5129	4032
2020-03-21	53578	6072	4825
2020-03-22	59138	7024	5476
2020-03-23	63927	7432	6077
2020-03-24	69176	8326	6820
2020-03-25	74386	9362	7503
2020-03-26	80539	10361	8215
2020-03-27	86498	10950	9134
2020-03-28	92472	12384	10023
2020-03-29	97689	13030	10779
2020-03-30	101739	14620	11591
2020-03-31	105792	15729	12428
2020-04-01	110574	16847	13155
2020-04-02	115242	18278	13915
2020-04-03	119827	19758	14681
2020-04-04	124632	20996	15362
2020-04-05	128948	21815	15887
2020-04-06	132547	22837	16523
2020-04-07	135586	24392	17127
2020-04-08	139422	26491	17669
2020-04-09	143626	28470	18279
2020-04-10	147577	30455	18849
2020-04-11	152271	32534	19468
2020-04-12	156363	34211	19899
2020-04-13	159516	35435	20465
2020-04-14	162488	37130	21067
2020-04-15	165155	38092	21645
2020-04-16	168941	40164	22170
2020-04-17	172434	42727	22745
2020-04-18	175925	44927	23227
2020-04-19	178972	47055	23660
2020-04-20	181228	48877	24114
2020-04-21	183957	51600	24648
2020-04-22	187327	54543	25085
2020-04-23	189973	57576	25549
2020-04-24	192994	60498	25969
2020-04-25	195351	63120	26384
2020-04-26	197675	64928	26644
2020-04-27	199414	66624	26977
2020-04-28	201505	68941	27359
2020-04-29	203591	71252	27682
2020-04-30	205463	75945	27967
2020-05-01	207428	78249	28236
2020-05-02	209328	79914	28710
2020-05-03	210717	81654	28884
2020-05-04	211938	82879	29079
2020-05-05	213013	85231	29315
2020-05-06	214457	93245	29684
2020-05-07	215858	96276	29958
2020-05-08	217185	99023	30201
2020-05-09	218268	103031	30395
2020-05-10	219070	105186	30560
2020-05-11	219814	106587	30739
2020-05-12	221216	109039	30911
2020-05-13	222104	112541	31106
2020-05-14	223096	115288	31368
2020-05-15	223885	120205	31610
2020-05-16	224760	122810	31763
2020-05-17	225435	125176	31908
2020-05-18	225886	127326	32007
2020-05-19	226699	129401	32169
2020-05-20	227364	132282	32330
2020-05-21	228006	134560	32486
2020-05-22	228658	136720	32616
2020-05-23	229327	138840	32735
2020-05-24	229858	140479	32785
2020-05-25	230158	141981	32877
2020-05-26	230555	144658	32955
2020-05-27	231139	147101	33072
2020-05-28	231732	150604	33142
2020-05-29	232248	152844	33229
2020-05-30	232664	155633	33340
