date	cases	recoveries	deaths
2020-01-20	1	0	0
2020-01-21	1	0	0
2020-01-22	1	0	0
2020-01-23	1	0	0
2020-01-24	2	0	0
2020-01-25	2	0	0
2020-01-26	3	0	0
2020-01-27	4	0	0
2020-01-28	4	0	0
2020-01-29	4	0	0
2020-01-30	6	0	0
2020-01-31	11	0	0
2020-02-01	12	0	0
2020-02-02	15	0	0
2020-02-03	15	0	0
2020-02-04	16	0	0
2020-02-05	19	1	0
2020-02-06	23	2	0
2020-02-07	24	2	0
2020-02-08	24	2	0
2020-02-09	27	3	0
2020-02-10	27	4	0
2020-02-11	28	4	0
2020-02-12	28	7	0
2020-02-13	28	7	0
2020-02-14	28	7	0
2020-02-15	28	7	0
2020-02-16	29	9	0
2020-02-17	30	10	0
2020-02-18	31	12	0
2020-02-19	51	16	0
2020-02-20	104	16	1
2020-02-21	204	17	2
2020-02-22	433	18	2
2020-02-23	602	18	4
2020-02-24	833	24	7
2020-02-25	977	24	10
2020-02-26	1261	24	12
2020-02-27	1766	27	13
2020-02-28	2337	27	13
2020-02-29	3150	28	17
2020-03-01	4212	31	22
2020-03-02	4812	34	28
2020-03-03	5328	41	32
2020-03-04	5766	88	35
2020-03-05	6284	108	42
2020-03-06	6767	118	44
2020-03-07	7134	130	50
2020-03-08	7382	166	51
2020-03-09	7513	247	54
2020-03-10	7755	288	60
2020-03-11	7869	333	66
2020-03-12	7979	510	67
2020-03-13	8086	714	72
2020-03-14	8162	834	75
2020-03-15	8236	1137	75
2020-03-16	8320	1401	81
2020-03-17	8413	1540	84
2020-03-18	8565	1947	91
2020-03-19	8652	2233	94
2020-03-20	8799	2612	102
2020-03-21	8897	2909	104
2020-03-22	8961	3166	111
2020-03-23	9037	3507	120
2020-03-24	9137	3730	126
2020-03-25	9241	4144	131
2020-03-26	9332	4528	139
2020-03-27	9478	4811	144
2020-03-28	9583	5033	152
2020-03-29	9661	5228	158
2020-03-30	9786	5408	162
2020-03-31	9887	5567	165
2020-04-01	9976	5828	169
2020-04-02	10062	6021	174
2020-04-03	10156	6325	177
2020-04-04	10237	6463	183
2020-04-05	10284	6598	186
2020-04-06	10331	6694	192
2020-04-07	10384	6776	200
2020-04-08	10423	6973	204
2020-04-09	10450	7117	208
2020-04-10	10480	7243	211
2020-04-11	10512	7368	214
2020-04-12	10537	7447	217
2020-04-13	10564	7534	222
2020-04-14	10591	7616	225
2020-04-15	10613	7757	229
2020-04-16	10635	7829	230
2020-04-17	10653	7937	232
2020-04-18	10661	8042	234
2020-04-19	10674	8114	236
2020-04-20	10683	8213	237
