date	cases	recoveries	deaths
2020-01-30	1	0	0
2020-01-31	1	0	0
2020-02-01	1	0	0
2020-02-02	2	0	1
2020-02-03	2	0	1
2020-02-04	2	0	1
2020-02-05	3	1	1
2020-02-06	3	1	1
2020-02-07	3	1	1
2020-02-08	3	1	1
2020-02-09	3	1	1
2020-02-10	3	2	1
2020-02-11	3	2	1
2020-02-12	3	2	1
2020-02-13	3	2	1
2020-02-14	3	2	1
2020-02-15	3	2	1
2020-02-16	3	2	1
2020-02-17	3	2	1
2020-02-18	3	2	1
2020-02-19	3	2	1
2020-02-20	3	2	1
2020-02-21	3	2	1
2020-02-22	3	2	1
2020-02-23	3	2	1
2020-02-24	3	2	1
2020-02-25	3	2	1
2020-02-26	3	2	1
2020-02-27	3	2	1
2020-02-28	3	2	1
2020-02-29	3	2	1
2020-03-01	3	2	1
2020-03-02	3	2	1
2020-03-03	3	2	1
2020-03-04	3	2	1
2020-03-05	5	2	1
2020-03-06	5	2	1
2020-03-07	6	2	1
2020-03-08	10	2	1
2020-03-09	24	2	1
2020-03-10	33	2	1
2020-03-11	49	2	2
2020-03-12	52	2	5
2020-03-13	64	2	6
2020-03-14	111	2	8
2020-03-15	140	2	12
2020-03-16	142	3	12
2020-03-17	187	4	14
2020-03-18	202	7	17
2020-03-19	217	8	17
2020-03-20	230	8	18
2020-03-21	307	13	19
2020-03-22	380	17	25
2020-03-23	462	18	33
2020-03-24	552	20	35
2020-03-25	636	26	38
2020-03-26	707	28	45
2020-03-27	803	31	54
2020-03-28	1075	35	68
2020-03-29	1418	42	71
2020-03-30	1546	42	78
2020-03-31	2084	49	88
2020-04-01	2311	50	96
2020-04-02	2633	51	107
2020-04-03	3018	52	136
2020-04-04	3094	57	144
2020-04-05	3246	64	152
2020-04-06	3660	73	163
2020-04-07	3764	84	177
2020-04-08	3870	96	182
2020-04-09	4076	124	203
2020-04-10	4195	140	221
2020-04-11	4428	157	247
2020-04-12	4648	197	297
2020-04-13	4932	242	315
2020-04-14	5223	295	335
2020-04-15	5453	353	349
2020-04-16	5660	435	362
2020-04-17	5878	487	387
2020-04-18	6087	516	397
2020-04-19	6259	572	409
2020-04-20	6459	613	428
2020-04-21	6599	651	437
2020-04-22	6710	693	446
2020-04-23	6981	722	462
2020-04-24	7192	762	477
2020-04-25	7294	792	494
2020-04-26	7579	862	501
2020-04-27	7777	932	511
2020-04-28	7958	975	530
2020-04-29	8212	1023	558
2020-04-30	8488	1043	568
2020-05-01	8772	1084	579
2020-05-02	8928	1124	603
2020-05-03	9223	1214	607
2020-05-04	9485	1315	623
2020-05-05	9684	1408	637
2020-05-06	10004	1506	658
2020-05-07	10343	1618	685
2020-05-08	10463	1734	696
2020-05-09	10610	1842	704
2020-05-10	10794	1924	719
2020-05-11	11086	1999	726
2020-05-12	11350	2106	751
2020-05-13	11618	2251	772
2020-05-14	11876	2337	790
2020-05-15	12091	2460	806
2020-05-16	12305	2561	817
2020-05-17	12513	2635	824
