date	cases	recoveries	deaths
2020-03-02	1	0	0
2020-03-03	1	0	0
2020-03-04	2	0	0
2020-03-05	5	0	0
2020-03-06	5	0	0
2020-03-07	7	0	0
2020-03-08	11	0	0
2020-03-09	15	0	0
2020-03-10	20	0	0
2020-03-11	45	0	0
2020-03-12	62	0	0
2020-03-13	86	0	0
2020-03-14	103	0	0
2020-03-15	118	2	0
2020-03-16	133	5	0
2020-03-17	171	5	0
2020-03-18	238	5	0
2020-03-19	274	7	0
2020-03-20	344	7	0
2020-03-21	392	15	0
2020-03-22	511	16	0
2020-03-23	562	18	0
2020-03-24	767	27	1
2020-03-25	900	28	2
2020-03-26	1012	32	3
2020-03-27	1104	35	3
2020-03-28	1203	37	4
2020-03-29	1299	66	8
2020-03-30	1453	115	8
2020-03-31	1563	165	10
2020-04-01	1720	264	16
2020-04-02	1885	328	21
2020-04-03	2039	351	25
2020-04-04	2179	420	29
2020-04-05	2385	488	34
2020-04-06	2523	551	38
2020-04-07	2795	615	41
2020-04-08	2932	631	41
2020-04-09	3287	666	44
2020-04-10	3651	685	47
2020-04-11	4033	720	52
2020-04-12	4462	761	59
2020-04-13	4934	805	65
2020-04-14	5369	889	73
2020-04-15	5862	931	79
2020-04-16	6380	990	86
2020-04-17	7142	1049	87
2020-04-18	8274	1329	92
2020-04-19	9362	1398	97
2020-04-20	10484	1490	103
2020-04-21	11631	1640	109
2020-04-22	12772	1812	114
2020-04-23	13930	1925	121
2020-04-24	15102	2049	127
2020-04-25	16299	2215	136
2020-04-26	17522	2357	139
2020-04-27	18811	2531	144
2020-04-28	20077	2784	152
2020-04-29	21402	2953	157
2020-04-30	22753	3163	162
2020-05-01	24097	3555	169
2020-05-02	25459	3765	176
2020-05-03	27011	4134	184
2020-05-04	28656	4476	191
2020-05-05	30251	5431	200
2020-05-06	31938	6783	209
2020-05-07	33731	7789	219
2020-05-08	35432	9120	229
2020-05-09	37136	10144	239
2020-05-10	39048	11457	246
2020-05-11	41014	12737	255
2020-05-12	42925	15257	264
2020-05-13	44830	17622	273
2020-05-14	46869	19051	283
2020-05-15	49176	21869	292
2020-05-16	52016	23666	302
2020-05-17	54752	25722	312
2020-05-18	57345	28748	320
2020-05-19	59854	31634	329
2020-05-20	62545	33478	339
2020-05-21	65077	36040	351
2020-05-22	67719	39003	364
2020-05-23	70161	41236	379
2020-05-24	72560	43520	390
2020-05-25	74765	45668	399
2020-05-26	76726	48450	411
2020-05-27	78541	51022	425
2020-05-28	80185	54553	441
2020-05-29	81766	57013	458
2020-05-30	83384	58883	480
2020-05-31	85261	62442	503
2020-06-01	87142	64306	525
2020-06-02	89011	65790	549
2020-06-03	91182	68159	579
2020-06-04	93157	68965	611
2020-06-05	95748	70616	642
2020-06-06	98869	71791	676
2020-06-07	101914	72818	712
2020-06-08	105283	74524	746
2020-06-09	108571	76339	783
2020-06-10	112288	77954	819
2020-06-11	116021	80019	857
2020-06-12	119942	81029	893
2020-06-13	123308	82548	932
2020-06-14	127541	84720	974
2020-06-15	132048	87890	1011
2020-06-16	136315	89540	1052
2020-06-17	141234	91662	1091
2020-06-18	145991	93915	1139
2020-06-19	150292	95764	1184
2020-06-20	154233	98917	1230
2020-06-21	157612	101130	1267
2020-06-22	161005	105175	1307
2020-06-23	164144	109885	1346
2020-06-24	167267	112797	1387
2020-06-25	170639	117882	1428
2020-06-26	174577	120471	1474
2020-06-27	178504	122128	1511
2020-06-28	182493	124755	1551
2020-06-29	186436	127118	1599
2020-06-30	190823	130766	1649
2020-07-01	194225	132760	1698
2020-07-02	197608	137669	1752
2020-07-03	201801	140614	1802
2020-07-04	205929	143256	1858
2020-07-05	209509	145236	1916
2020-07-06	213716	149634	1968
2020-07-07	217108	154839	2017
2020-07-08	220144	158050	2059
2020-07-09	223327	161096	2100
2020-07-10	226486	163026	2151
2020-07-11	229480	165396	2181
2020-07-12	232259	167138	2223
2020-07-13	235111	169842	2243
2020-07-14	237803	177560	2283
2020-07-15	240474	183048	2325
2020-07-16	243238	187622	2370
2020-07-17	245851	191161	2407
2020-07-18	248416	194218	2447
2020-07-19	250920	197735	2486
2020-07-20	253349	203259	2523
2020-07-21	255825	207259	2557
2020-07-22	258156	210398	2601
2020-07-23	260394	213490	2635
2020-07-24	262772	215731	2672
2020-07-25	264973	217782	2703
2020-07-26	266941	220323	2733
2020-07-27	268934	222936	2760
2020-07-28	270831	225624	2789
2020-07-29	272590	228569	2816
2020-07-30	274219	231198	2842
2020-07-31	275905	235658	2866
2020-08-01	277478	237548	2887
2020-08-02	278871	240081	2917
2020-08-03	280093	242053	2949
2020-08-04	281435	243688	2984
2020-08-05	282824	245314	3020
2020-08-06	284226	247089	3055
2020-08-07	285793	248948	3093
2020-08-08	287262	250440	3160
2020-08-09	288690	252039	3167
2020-08-10	289947	253478	3199
2020-08-11	291468	255118	3233
2020-08-12	293037	257269	3269
2020-08-13	294519	260393	3303
2020-08-14	295902	262959	3338
2020-08-15	297315	264487	3369
2020-08-16	298542	266953	3408
2020-08-17	299914	268385	3436
2020-08-18	301323	272911	3470
2020-08-19	302686	274091	3506
2020-08-20	303973	275476	3548
2020-08-21	305186	277067	3580
2020-08-22	306370	278441	3619
2020-08-23	307479	280143	3649
2020-08-24	308654	282888	3691
2020-08-25	309768	283932	3722
2020-08-26	310836	284945	3755
2020-08-27	311855	286255	3785
2020-08-28	312924	287403	3813
2020-08-29	313911	288441	3840
2020-08-30	314821	289667	3870
2020-08-31	315772	290796	3897
2020-09-01	316670	291514	3929
2020-09-02	317486	292510	3956
2020-09-03	318319	293964	3982
2020-09-04	319141	295063	4015
2020-09-05	319932	295842	4049
2020-09-06	320688	296737	4081
2020-09-07	321456	297623	4107
2020-09-08	322237	298246	4137
2020-09-09	323012	298966	4165
2020-09-10	323720	299998	4189
2020-09-11	324407	300933	4213
2020-09-12	325050	301836	4240
2020-09-13	325651	302870	4268
2020-09-14	326258	303930	4305
2020-09-15	326930	305022	4338
2020-09-16	327551	306004	4369
2020-09-17	328144	307207	4399
2020-09-18	328720	308352	4430
2020-09-19	329271	309430	4458
2020-09-20	329754	310439	4485
2020-09-21	330246	311499	4512
2020-09-22	330798	312684	4542
2020-09-23	331359	313786	4569
