date	cases	recoveries	deaths
2020-01-21	1	0	0
2020-01-22	1	0	0
2020-01-23	1	0	0
2020-01-24	2	0	0
2020-01-25	3	0	0
2020-01-26	5	0	0
2020-01-27	5	0	0
2020-01-28	5	0	0
2020-01-29	5	0	0
2020-01-30	6	0	0
2020-01-31	7	0	0
2020-02-01	8	0	0
2020-02-02	11	0	0
2020-02-03	11	0	0
2020-02-04	11	0	0
2020-02-05	12	0	0
2020-02-06	12	0	0
2020-02-07	12	0	0
2020-02-08	12	0	0
2020-02-09	12	0	0
2020-02-10	12	0	0
2020-02-11	12	0	0
2020-02-12	12	0	0
2020-02-13	12	0	0
2020-02-14	12	0	0
2020-02-15	12	0	0
2020-02-16	12	0	0
2020-02-17	12	5	0
2020-02-18	12	5	0
2020-02-19	12	5	0
2020-02-20	14	5	0
2020-02-21	14	6	0
2020-02-22	14	6	0
2020-02-23	14	6	0
2020-02-24	14	6	0
2020-02-25	14	6	0
2020-02-26	15	6	0
2020-02-27	15	6	0
2020-02-28	19	6	0
2020-02-29	24	7	1
2020-03-01	42	9	2
2020-03-02	57	9	6
2020-03-03	85	9	9
2020-03-04	111	9	11
2020-03-05	175	9	11
2020-03-06	252	15	14
2020-03-07	353	15	19
2020-03-08	497	15	21
2020-03-09	645	15	26
2020-03-10	936	15	31
2020-03-11	1205	15	37
2020-03-12	1598	15	41
2020-03-13	2163	16	49
2020-03-14	2825	49	56
2020-03-15	3501	60	62
2020-03-16	4373	75	76
2020-03-17	5664	107	97
2020-03-18	8074	107	123
2020-03-19	12022	109	175
2020-03-20	17439	147	230
2020-03-21	23710	171	298
2020-03-22	32341	178	408
2020-03-23	42751	296	519
2020-03-24	52690	379	681
2020-03-25	64916	394	906
2020-03-26	81966	1864	1159
2020-03-27	101012	2465	1592
2020-03-28	121105	3231	2039
2020-03-29	140223	4559	2431
2020-03-30	160686	5506	2985
2020-03-31	185991	7251	3806
2020-04-01	212747	8878	4746
2020-04-02	241626	10403	5821
2020-04-03	274151	12283	7006
2020-04-04	307876	14825	8359
2020-04-05	333593	17977	9534
2020-04-06	362952	19573	10746
2020-04-07	393464	21674	12674
2020-04-08	425746	22891	14610
2020-04-09	459989	25928	16466
2020-04-10	493567	27314	18544
2020-04-11	525436	30453	20443
2020-04-12	553493	32634	21936
2020-04-13	578178	36948	23398
2020-04-14	604165	38820	25776
2020-04-15	633630	48708	28214
2020-04-16	665706	57754	30355
2020-04-17	696621	60510	32435
2020-04-18	724705	68285	34178
2020-04-19	750718	71012	35812
2020-04-20	775850	72389	37455
2020-04-21	801228	82923	40079
2020-04-22	830274	84050	42198
2020-04-23	862605	85922	44038
2020-04-24	898742	110432	46091
2020-04-25	933698	118162	47916
2020-04-26	960582	118781	49077
2020-04-27	982668	138990	50314
2020-04-28	1007097	142238	52518
2020-04-29	1033001	147411	55054
2020-04-30	1062675	155737	57137
2020-05-01	1095682	161563	58931
2020-05-02	1126250	173725	60599
2020-05-03	1151643	178623	61716
2020-05-04	1172921	188068	62593
2020-05-05	1195173	200628	65028
2020-05-06	1220032	213084	67729
2020-05-07	1247567	217250	69700
2020-05-08	1274681	223603	71395
2020-05-09	1300244	238078	72950
2020-05-10	1320941	256336	73895
2020-05-11	1338720	262225	74735
2020-05-12	1360206	296746	76326
2020-05-13	1380755	310259	78041
2020-05-14	1407517	318027	79899
2020-05-15	1432899	326242	81423
2020-05-16	1457426	339232	82654
2020-05-17	1477157	346389	83439
2020-05-18	1498266	356383	84231
2020-05-19	1517928	361180	85656
2020-05-20	1540296	370076	87184
2020-05-21	1565324	382169	88470
2020-05-22	1589237	403201	89732
2020-05-23	1612021	446914	90821
2020-05-24	1632307	451702	91467
2020-05-25	1650893	464670	91971
2020-05-26	1667594	479969	92605
2020-05-27	1686274	490130	93984
2020-05-28	1709326	498725	95200
2020-05-29	1732933	519569	96375
2020-05-30	1756770	535238	97354
2020-05-31	1778473	599867	97959
2020-06-01	1794546	615416	98437
2020-06-02	1814620	645974	99476
2020-06-03	1834319	688670	100480
2020-06-04	1855340	712252	101389
2020-06-05	1878664	738646	102238
2020-06-06	1902072	751894	102961
